

Performance Summary

,All Trades,Long Trades,Short Trades,
1/16/2021 - 5/12/2023,($5340.00),-4.89%,0.65,27,33.33%,
1/15/2021 - 5/12/2023,($5340.00),-4.89%,0.65,27,33.33%,
1/14/2021 - 5/12/2023,($5340.00),-4.89%,0.65,27,33.33%,
1/13/2021 - 5/12/2023,($5340.00),-4.89%,0.65,27,33.33%,
1/12/2021 - 5/12/2023,($5340.00),-4.89%,0.65,27,33.33%,
1/11/2021 - 5/12/2023,($5340.00),-4.89%,0.65,27,33.33%,
1/10/2021 - 5/12/2023,($5340.00),-4.89%,0.65,27,33.33%,
1/9/2021 - 5/12/2023,($5340.00),-4.89%,0.65,27,33.33%,
1/8/2021 - 5/12/2023,($5340.00),-4.89%,0.65,27,33.33%,
1/7/2021 - 5/12/2023,($5340.00),-4.89%,0.65,27,33.33%,
1/6/2021 - 5/12/2023,($5780.00),-5.27%,0.63,28,32.14%,
1/5/2021 - 5/12/2023,($6020.00),-5.48%,0.62,28,32.14%,
1/4/2021 - 5/12/2023,($6520.00),-5.91%,0.60,28,32.14%,
1/3/2021 - 5/12/2023,($6520.00),-5.91%,0.60,28,32.14%,
1/2/2021 - 5/12/2023,($6520.00),-5.91%,0.60,28,32.14%,
1/1/2021 - 5/12/2023,($6520.00),-5.91%,0.60,28,32.14%,
12/31/2020 - 5/12/2023,($6510.00),-5.90%,0.60,28,32.14%,
12/30/2020 - 5/12/2023,($5590.00),-5.11%,0.64,28,32.14%,
12/29/2020 - 5/12/2023,($6080.00),-5.53%,0.62,28,32.14%,
12/28/2020 - 5/12/2023,($6540.00),-5.92%,0.60,28,32.14%,
12/27/2020 - 5/12/2023,($6540.00),-5.92%,0.60,28,32.14%,
12/26/2020 - 5/12/2023,($6540.00),-5.92%,0.60,28,32.14%,
12/25/2020 - 5/12/2023,($6540.00),-5.92%,0.60,28,32.14%,
12/24/2020 - 5/12/2023,($6030.00),-5.49%,0.62,28,32.14%,
12/23/2020 - 5/12/2023,($5790.00),-5.28%,0.63,28,32.14%,
12/22/2020 - 5/12/2023,($6370.00),-5.78%,0.61,29,31.03%,
12/21/2020 - 5/12/2023,($7060.00),-6.36%,0.58,29,31.03%,
12/20/2020 - 5/12/2023,($7060.00),-6.36%,0.58,29,31.03%,
12/19/2020 - 5/12/2023,($7060.00),-6.36%,0.58,29,31.03%,
12/18/2020 - 5/12/2023,($6970.00),-6.29%,0.59,29,31.03%,
12/17/2020 - 5/12/2023,($6970.00),-6.29%,0.59,29,31.03%,
12/16/2020 - 5/12/2023,($6970.00),-6.29%,0.59,29,31.03%,
12/15/2020 - 5/12/2023,($6970.00),-6.29%,0.59,29,31.03%,
12/14/2020 - 5/12/2023,($6970.00),-6.29%,0.59,29,31.03%,
12/13/2020 - 5/12/2023,($6970.00),-6.29%,0.59,29,31.03%,
12/12/2020 - 5/12/2023,($6970.00),-6.29%,0.59,29,31.03%,
12/11/2020 - 5/12/2023,($6970.00),-6.29%,0.59,29,31.03%,
12/10/2020 - 5/12/2023,($6970.00),-6.29%,0.59,29,31.03%,
12/9/2020 - 5/12/2023,($6970.00),-6.29%,0.59,29,31.03%,
12/8/2020 - 5/12/2023,($6320.00),-5.74%,0.62,30,33.33%,
12/7/2020 - 5/12/2023,($6000.00),-5.46%,0.64,30,33.33%,
12/6/2020 - 5/12/2023,($6000.00),-5.46%,0.64,30,33.33%,
12/5/2020 - 5/12/2023,($6000.00),-5.46%,0.64,30,33.33%,
12/4/2020 - 5/12/2023,($6270.00),-5.69%,0.63,30,33.33%,
12/3/2020 - 5/12/2023,($6030.00),-5.49%,0.64,30,33.33%,
12/2/2020 - 5/12/2023,($5920.00),-5.39%,0.65,30,33.33%,
12/1/2020 - 5/12/2023,($5020.00),-4.61%,0.70,30,33.33%,
11/30/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
11/29/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
11/28/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
11/27/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
11/26/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
11/25/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
11/24/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
11/23/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
11/22/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
11/21/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
11/20/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
11/19/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
11/18/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
11/17/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
11/16/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
11/15/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
11/14/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
11/13/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
11/12/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
11/11/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
11/10/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
11/9/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
11/8/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
11/7/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
11/6/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
11/5/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
11/4/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
11/3/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
11/2/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
11/1/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
10/31/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
10/30/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
10/29/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
10/28/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
10/27/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
10/26/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
10/25/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
10/24/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
10/23/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
10/22/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
10/21/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
10/20/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
10/19/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
10/18/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
10/17/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
10/16/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
10/15/2020 - 5/12/2023,($4970.00),-4.57%,0.70,30,33.33%,
10/14/2020 - 5/12/2023,($5060.00),-4.65%,0.70,31,32.26%,
10/13/2020 - 5/12/2023,($5560.00),-5.08%,0.68,31,32.26%,
10/12/2020 - 5/12/2023,($5740.00),-5.24%,0.67,31,32.26%,
10/11/2020 - 5/12/2023,($5740.00),-5.24%,0.67,31,32.26%,
10/10/2020 - 5/12/2023,($5740.00),-5.24%,0.67,31,32.26%,
10/9/2020 - 5/12/2023,($6060.00),-5.51%,0.66,31,32.26%,
10/8/2020 - 5/12/2023,($5970.00),-5.44%,0.67,31,32.26%,
10/7/2020 - 5/12/2023,($5970.00),-5.44%,0.67,31,32.26%,
10/6/2020 - 5/12/2023,($5570.00),-5.09%,0.69,32,34.38%,
10/5/2020 - 5/12/2023,($5410.00),-4.95%,0.70,32,34.38%,
10/4/2020 - 5/12/2023,($5410.00),-4.95%,0.70,32,34.38%,
10/3/2020 - 5/12/2023,($5410.00),-4.95%,0.70,32,34.38%,
10/2/2020 - 5/12/2023,($5200.00),-4.77%,0.71,32,34.38%,
10/1/2020 - 5/12/2023,($4790.00),-4.41%,0.73,32,34.38%,
9/30/2020 - 5/12/2023,($4180.00),-3.87%,0.77,32,34.38%,
9/29/2020 - 5/12/2023,($4330.00),-4.00%,0.76,32,34.38%,
9/28/2020 - 5/12/2023,($4400.00),-4.06%,0.75,32,34.38%,
9/27/2020 - 5/12/2023,($4400.00),-4.06%,0.75,32,34.38%,
9/26/2020 - 5/12/2023,($4400.00),-4.06%,0.75,32,34.38%,
9/25/2020 - 5/12/2023,($4130.00),-3.82%,0.77,32,34.38%,
9/24/2020 - 5/12/2023,($4310.00),-3.98%,0.76,32,34.38%,
9/23/2020 - 5/12/2023,($4630.00),-4.27%,0.74,32,34.38%,
9/22/2020 - 5/12/2023,($3910.00),-3.63%,0.78,32,34.38%,
9/21/2020 - 5/12/2023,($4450.00),-4.11%,0.76,33,33.33%,
9/20/2020 - 5/12/2023,($4450.00),-4.11%,0.76,33,33.33%,
9/19/2020 - 5/12/2023,($4450.00),-4.11%,0.76,33,33.33%,
9/18/2020 - 5/12/2023,($3900.00),-3.62%,0.78,33,36.36%,
9/17/2020 - 5/12/2023,($4290.00),-3.97%,0.76,34,32.35%,
9/16/2020 - 5/12/2023,($3340.00),-3.12%,0.81,34,35.29%,
9/15/2020 - 5/12/2023,($4730.00),-4.36%,0.75,34,32.35%,
9/14/2020 - 5/12/2023,($4680.00),-4.31%,0.75,34,32.35%,
9/13/2020 - 5/12/2023,($4680.00),-4.31%,0.75,34,32.35%,
9/12/2020 - 5/12/2023,($4680.00),-4.31%,0.75,34,32.35%,
9/11/2020 - 5/12/2023,($4850.00),-4.46%,0.74,34,32.35%,
9/10/2020 - 5/12/2023,($4650.00),-4.29%,0.75,34,32.35%,
9/9/2020 - 5/12/2023,($4570.00),-4.21%,0.75,34,32.35%,
9/8/2020 - 5/12/2023,($4300.00),-3.98%,0.76,34,32.35%,
9/7/2020 - 5/12/2023,($4300.00),-3.98%,0.76,34,32.35%,
9/6/2020 - 5/12/2023,($4300.00),-3.98%,0.76,34,32.35%,
9/5/2020 - 5/12/2023,($4300.00),-3.98%,0.76,34,32.35%,
9/4/2020 - 5/12/2023,($4030.00),-3.74%,0.77,34,32.35%,
9/3/2020 - 5/12/2023,($3650.00),-3.40%,0.80,34,35.29%,
9/2/2020 - 5/12/2023,($3650.00),-3.40%,0.80,34,35.29%,
9/1/2020 - 5/12/2023,($3650.00),-3.40%,0.80,34,35.29%,
8/31/2020 - 5/12/2023,($3650.00),-3.40%,0.80,34,35.29%,
8/30/2020 - 5/12/2023,($3650.00),-3.40%,0.80,34,35.29%,
8/29/2020 - 5/12/2023,($3650.00),-3.40%,0.80,34,35.29%,
8/28/2020 - 5/12/2023,($3650.00),-3.40%,0.80,34,35.29%,
8/27/2020 - 5/12/2023,($4230.00),-3.91%,0.77,35,34.29%,
8/26/2020 - 5/12/2023,($4240.00),-3.92%,0.77,35,34.29%,
8/25/2020 - 5/12/2023,($4470.00),-4.13%,0.76,35,34.29%,
8/24/2020 - 5/12/2023,($4950.00),-4.55%,0.74,35,34.29%,
8/23/2020 - 5/12/2023,($4950.00),-4.55%,0.74,35,34.29%,
8/22/2020 - 5/12/2023,($4950.00),-4.55%,0.74,35,34.29%,
8/21/2020 - 5/12/2023,($5060.00),-4.65%,0.74,35,34.29%,
8/20/2020 - 5/12/2023,($4560.00),-4.21%,0.76,35,34.29%,
8/19/2020 - 5/12/2023,($4690.00),-4.32%,0.75,35,34.29%,
8/18/2020 - 5/12/2023,($4860.00),-4.47%,0.75,35,34.29%,
8/17/2020 - 5/12/2023,($4650.00),-4.29%,0.75,35,34.29%,
8/16/2020 - 5/12/2023,($4650.00),-4.29%,0.75,35,34.29%,
8/15/2020 - 5/12/2023,($4650.00),-4.29%,0.75,35,34.29%,
8/14/2020 - 5/12/2023,($4650.00),-4.29%,0.75,35,34.29%,
8/13/2020 - 5/12/2023,($4650.00),-4.29%,0.75,35,34.29%,
8/12/2020 - 5/12/2023,($4650.00),-4.29%,0.75,35,34.29%,
8/11/2020 - 5/12/2023,($4650.00),-4.29%,0.75,35,34.29%,
8/10/2020 - 5/12/2023,($4650.00),-4.29%,0.75,35,34.29%,
8/9/2020 - 5/12/2023,($4650.00),-4.29%,0.75,35,34.29%,
8/8/2020 - 5/12/2023,($4650.00),-4.29%,0.75,35,34.29%,
8/7/2020 - 5/12/2023,($4650.00),-4.29%,0.75,35,34.29%,
8/6/2020 - 5/12/2023,($4650.00),-4.29%,0.75,35,34.29%,
8/5/2020 - 5/12/2023,($4650.00),-4.29%,0.75,35,34.29%,
8/4/2020 - 5/12/2023,($4650.00),-4.29%,0.75,35,34.29%,
8/3/2020 - 5/12/2023,($4650.00),-4.29%,0.75,35,34.29%,
8/2/2020 - 5/12/2023,($4650.00),-4.29%,0.75,35,34.29%,
8/1/2020 - 5/12/2023,($4650.00),-4.29%,0.75,35,34.29%,
7/31/2020 - 5/12/2023,($4650.00),-4.29%,0.75,35,34.29%,
7/30/2020 - 5/12/2023,($4650.00),-4.29%,0.75,35,34.29%,
7/29/2020 - 5/12/2023,($4340.00),-4.01%,0.77,36,36.11%,
7/28/2020 - 5/12/2023,($4230.00),-3.91%,0.78,36,36.11%,
7/27/2020 - 5/12/2023,($3460.00),-3.22%,0.82,36,36.11%,
7/26/2020 - 5/12/2023,($3460.00),-3.22%,0.82,36,36.11%,
7/25/2020 - 5/12/2023,($3460.00),-3.22%,0.82,36,36.11%,
7/24/2020 - 5/12/2023,($3190.00),-2.98%,0.83,36,36.11%,
7/23/2020 - 5/12/2023,($3440.00),-3.21%,0.82,36,36.11%,
7/22/2020 - 5/12/2023,($3140.00),-2.93%,0.83,36,36.11%,
7/21/2020 - 5/12/2023,($3520.00),-3.28%,0.81,36,36.11%,
7/20/2020 - 5/12/2023,($2970.00),-2.78%,0.84,36,36.11%,
7/19/2020 - 5/12/2023,($2970.00),-2.78%,0.84,36,36.11%,
7/18/2020 - 5/12/2023,($2970.00),-2.78%,0.84,36,36.11%,
7/17/2020 - 5/12/2023,($3030.00),-2.83%,0.84,36,36.11%,
7/16/2020 - 5/12/2023,($2490.00),-2.34%,0.87,37,37.84%,
7/15/2020 - 5/12/2023,($2450.00),-2.30%,0.87,37,37.84%,
7/14/2020 - 5/12/2023,($2100.00),-1.98%,0.89,37,37.84%,
7/13/2020 - 5/12/2023,($2290.00),-2.16%,0.88,37,37.84%,
7/12/2020 - 5/12/2023,($2290.00),-2.16%,0.88,37,37.84%,
7/11/2020 - 5/12/2023,($2290.00),-2.16%,0.88,37,37.84%,
7/10/2020 - 5/12/2023,($2520.00),-2.37%,0.87,37,37.84%,
7/9/2020 - 5/12/2023,($2840.00),-2.66%,0.85,37,35.14%,
7/8/2020 - 5/12/2023,($2610.00),-2.45%,0.86,37,37.84%,
7/7/2020 - 5/12/2023,($2450.00),-2.30%,0.87,37,37.84%,
7/6/2020 - 5/12/2023,($2420.00),-2.28%,0.87,37,37.84%,
7/5/2020 - 5/12/2023,($2420.00),-2.28%,0.87,37,37.84%,
7/4/2020 - 5/12/2023,($2420.00),-2.28%,0.87,37,37.84%,
7/3/2020 - 5/12/2023,($2420.00),-2.28%,0.87,37,37.84%,
7/2/2020 - 5/12/2023,($2420.00),-2.28%,0.87,37,37.84%,
7/1/2020 - 5/12/2023,($2420.00),-2.28%,0.87,37,37.84%,
6/30/2020 - 5/12/2023,($2420.00),-2.28%,0.87,37,37.84%,
6/29/2020 - 5/12/2023,($2420.00),-2.28%,0.87,37,37.84%,
6/28/2020 - 5/12/2023,($2420.00),-2.28%,0.87,37,37.84%,
6/27/2020 - 5/12/2023,($2420.00),-2.28%,0.87,37,37.84%,
6/26/2020 - 5/12/2023,($2420.00),-2.28%,0.87,37,37.84%,
6/25/2020 - 5/12/2023,($2420.00),-2.28%,0.87,37,37.84%,
6/24/2020 - 5/12/2023,($2420.00),-2.28%,0.87,37,37.84%,
6/23/2020 - 5/12/2023,($2420.00),-2.28%,0.87,37,37.84%,
6/22/2020 - 5/12/2023,($2420.00),-2.28%,0.87,37,37.84%,
6/21/2020 - 5/12/2023,($2420.00),-2.28%,0.87,37,37.84%,
6/20/2020 - 5/12/2023,($2420.00),-2.28%,0.87,37,37.84%,
6/19/2020 - 5/12/2023,($2420.00),-2.28%,0.87,37,37.84%,
6/18/2020 - 5/12/2023,($2420.00),-2.28%,0.87,37,37.84%,
6/17/2020 - 5/12/2023,($2420.00),-2.28%,0.87,37,37.84%,
6/16/2020 - 5/12/2023,($2420.00),-2.28%,0.87,37,37.84%,
6/15/2020 - 5/12/2023,($2420.00),-2.28%,0.87,37,37.84%,
6/14/2020 - 5/12/2023,($2420.00),-2.28%,0.87,37,37.84%,
6/13/2020 - 5/12/2023,($2420.00),-2.28%,0.87,37,37.84%,
6/12/2020 - 5/12/2023,($2420.00),-2.28%,0.87,37,37.84%,
6/11/2020 - 5/12/2023,($3480.00),-3.24%,0.83,38,36.84%,
6/10/2020 - 5/12/2023,($3860.00),-3.58%,0.81,38,36.84%,
6/9/2020 - 5/12/2023,($3510.00),-3.27%,0.82,38,36.84%,
6/8/2020 - 5/12/2023,($3420.00),-3.19%,0.83,38,36.84%,
6/7/2020 - 5/12/2023,($3420.00),-3.19%,0.83,38,36.84%,
6/6/2020 - 5/12/2023,($3420.00),-3.19%,0.83,38,36.84%,
6/5/2020 - 5/12/2023,($3440.00),-3.21%,0.83,38,36.84%,
6/4/2020 - 5/12/2023,($3290.00),-3.07%,0.83,38,36.84%,
6/3/2020 - 5/12/2023,($3400.00),-3.17%,0.83,38,36.84%,
6/2/2020 - 5/12/2023,($4300.00),-3.98%,0.79,38,36.84%,
6/1/2020 - 5/12/2023,($3590.00),-3.34%,0.82,38,36.84%,
5/31/2020 - 5/12/2023,($3590.00),-3.34%,0.82,38,36.84%,
5/30/2020 - 5/12/2023,($3590.00),-3.34%,0.82,38,36.84%,
5/29/2020 - 5/12/2023,($3560.00),-3.31%,0.82,38,36.84%,
5/28/2020 - 5/12/2023,($4170.00),-3.86%,0.80,39,35.90%,
5/27/2020 - 5/12/2023,($4090.00),-3.79%,0.80,39,35.90%,
5/26/2020 - 5/12/2023,($4090.00),-3.79%,0.80,39,35.90%,
5/25/2020 - 5/12/2023,($4090.00),-3.79%,0.80,39,35.90%,
5/24/2020 - 5/12/2023,($4090.00),-3.79%,0.80,39,35.90%,
5/23/2020 - 5/12/2023,($4090.00),-3.79%,0.80,39,35.90%,
5/22/2020 - 5/12/2023,($4090.00),-3.79%,0.80,39,35.90%,
5/21/2020 - 5/12/2023,($4090.00),-3.79%,0.80,39,35.90%,
5/20/2020 - 5/12/2023,($4090.00),-3.79%,0.80,39,35.90%,
5/19/2020 - 5/12/2023,($4090.00),-3.79%,0.80,39,35.90%,
5/18/2020 - 5/12/2023,($4090.00),-3.79%,0.80,39,35.90%,
5/17/2020 - 5/12/2023,($4090.00),-3.79%,0.80,39,35.90%,
5/16/2020 - 5/12/2023,($4090.00),-3.79%,0.80,39,35.90%,
5/15/2020 - 5/12/2023,($4090.00),-3.79%,0.80,39,35.90%,
5/14/2020 - 5/12/2023,($4090.00),-3.79%,0.80,39,35.90%,
5/13/2020 - 5/12/2023,($4090.00),-3.79%,0.80,39,35.90%,
5/12/2020 - 5/12/2023,($4090.00),-3.79%,0.80,39,35.90%,
5/11/2020 - 5/12/2023,($4820.00),-4.44%,0.77,40,35.00%,
5/10/2020 - 5/12/2023,($4820.00),-4.44%,0.77,40,35.00%,
5/9/2020 - 5/12/2023,($4820.00),-4.44%,0.77,40,35.00%,
5/8/2020 - 5/12/2023,($5000.00),-4.59%,0.77,40,35.00%,
5/7/2020 - 5/12/2023,($5130.00),-4.71%,0.76,40,35.00%,
5/6/2020 - 5/12/2023,($5040.00),-4.63%,0.77,41,36.59%,
5/5/2020 - 5/12/2023,($5230.00),-4.79%,0.76,41,34.15%,
5/4/2020 - 5/12/2023,($5410.00),-4.95%,0.75,41,34.15%,
5/3/2020 - 5/12/2023,($5410.00),-4.95%,0.75,41,34.15%,
5/2/2020 - 5/12/2023,($5410.00),-4.95%,0.75,41,34.15%,
5/1/2020 - 5/12/2023,($5490.00),-5.02%,0.75,41,34.15%,
4/30/2020 - 5/12/2023,($5180.00),-4.75%,0.76,41,34.15%,
4/29/2020 - 5/12/2023,($4860.00),-4.47%,0.77,41,36.59%,
4/28/2020 - 5/12/2023,($4580.00),-4.22%,0.79,41,36.59%,
4/27/2020 - 5/12/2023,($4780.00),-4.40%,0.78,41,36.59%,
4/26/2020 - 5/12/2023,($4780.00),-4.40%,0.78,41,36.59%,
4/25/2020 - 5/12/2023,($4780.00),-4.40%,0.78,41,36.59%,
4/24/2020 - 5/12/2023,($4990.00),-4.58%,0.77,41,36.59%,
4/23/2020 - 5/12/2023,($5060.00),-4.65%,0.77,41,36.59%,
4/22/2020 - 5/12/2023,($4620.00),-4.26%,0.79,41,36.59%,
4/21/2020 - 5/12/2023,($4880.00),-4.49%,0.77,41,36.59%,
4/20/2020 - 5/12/2023,($4950.00),-4.55%,0.77,41,36.59%,
4/19/2020 - 5/12/2023,($4950.00),-4.55%,0.77,41,36.59%,
4/18/2020 - 5/12/2023,($4950.00),-4.55%,0.77,41,36.59%,
4/17/2020 - 5/12/2023,($4080.00),-3.78%,0.81,41,36.59%,
4/16/2020 - 5/12/2023,($3770.00),-3.50%,0.83,41,36.59%,
4/15/2020 - 5/12/2023,($4210.00),-3.90%,0.80,41,36.59%,
4/14/2020 - 5/12/2023,($4160.00),-3.85%,0.81,41,36.59%,
4/13/2020 - 5/12/2023,($4480.00),-4.14%,0.79,41,36.59%,
4/12/2020 - 5/12/2023,($4480.00),-4.14%,0.79,41,36.59%,
4/11/2020 - 5/12/2023,($4480.00),-4.14%,0.79,41,36.59%,
4/10/2020 - 5/12/2023,($4480.00),-4.14%,0.79,41,36.59%,
4/9/2020 - 5/12/2023,($5130.00),-4.71%,0.76,41,34.15%,
4/8/2020 - 5/12/2023,($5410.00),-4.95%,0.75,41,34.15%,
4/7/2020 - 5/12/2023,($5190.00),-4.76%,0.76,41,34.15%,
4/6/2020 - 5/12/2023,($3870.00),-3.59%,0.82,41,36.59%,
4/5/2020 - 5/12/2023,($3870.00),-3.59%,0.82,41,36.59%,
4/4/2020 - 5/12/2023,($3870.00),-3.59%,0.82,41,36.59%,
4/3/2020 - 5/12/2023,($4160.00),-3.85%,0.81,41,36.59%,
4/2/2020 - 5/12/2023,($3740.00),-3.48%,0.83,41,36.59%,
4/1/2020 - 5/12/2023,($3730.00),-3.47%,0.83,41,36.59%,
3/31/2020 - 5/12/2023,($3910.00),-3.63%,0.82,41,36.59%,
3/30/2020 - 5/12/2023,($3910.00),-3.63%,0.82,41,36.59%,
3/29/2020 - 5/12/2023,($3910.00),-3.63%,0.82,41,36.59%,
3/28/2020 - 5/12/2023,($3910.00),-3.63%,0.82,41,36.59%,
3/27/2020 - 5/12/2023,($3790.00),-3.52%,0.82,41,36.59%,
3/26/2020 - 5/12/2023,($3820.00),-3.55%,0.82,41,36.59%,
3/25/2020 - 5/12/2023,($3820.00),-3.55%,0.82,41,36.59%,
3/24/2020 - 5/12/2023,($3820.00),-3.55%,0.82,41,36.59%,
3/23/2020 - 5/12/2023,($3820.00),-3.55%,0.82,41,36.59%,
3/22/2020 - 5/12/2023,($3820.00),-3.55%,0.82,41,36.59%,
3/21/2020 - 5/12/2023,($3820.00),-3.55%,0.82,41,36.59%,
3/20/2020 - 5/12/2023,($3820.00),-3.55%,0.82,41,36.59%,
3/19/2020 - 5/12/2023,($3820.00),-3.55%,0.82,41,36.59%,
3/18/2020 - 5/12/2023,($3820.00),-3.55%,0.82,41,36.59%,
3/17/2020 - 5/12/2023,($3460.00),-3.22%,0.84,42,38.10%,
3/16/2020 - 5/12/2023,($2630.00),-2.47%,0.88,42,38.10%,
3/15/2020 - 5/12/2023,($2630.00),-2.47%,0.88,42,38.10%,
3/14/2020 - 5/12/2023,($2630.00),-2.47%,0.88,42,38.10%,
3/13/2020 - 5/12/2023,($1750.00),-1.66%,0.92,42,38.10%,
3/12/2020 - 5/12/2023,($1820.00),-1.72%,0.92,42,38.10%,
3/11/2020 - 5/12/2023,($1820.00),-1.72%,0.92,42,38.10%,
3/10/2020 - 5/12/2023,($1820.00),-1.72%,0.92,42,38.10%,
3/9/2020 - 5/12/2023,($1820.00),-1.72%,0.92,42,38.10%,
3/8/2020 - 5/12/2023,($1820.00),-1.72%,0.92,42,38.10%,
3/7/2020 - 5/12/2023,($1820.00),-1.72%,0.92,42,38.10%,
3/6/2020 - 5/12/2023,($1820.00),-1.72%,0.92,42,38.10%,
3/5/2020 - 5/12/2023,($1820.00),-1.72%,0.92,42,38.10%,
3/4/2020 - 5/12/2023,($1820.00),-1.72%,0.92,42,38.10%,
3/3/2020 - 5/12/2023,($1820.00),-1.72%,0.92,42,38.10%,
3/2/2020 - 5/12/2023,($1820.00),-1.72%,0.92,42,38.10%,
3/1/2020 - 5/12/2023,($1820.00),-1.72%,0.92,42,38.10%,
2/29/2020 - 5/12/2023,($1820.00),-1.72%,0.92,42,38.10%,
2/28/2020 - 5/12/2023,($1120.00),-1.07%,0.95,43,39.53%,
2/27/2020 - 5/12/2023,($1300.00),-1.24%,0.94,43,39.53%,
2/26/2020 - 5/12/2023,($560.00),-0.54%,0.97,43,39.53%,
2/25/2020 - 5/12/2023,($420.00),-0.40%,0.98,43,39.53%,
2/24/2020 - 5/12/2023,($310.00),-0.30%,0.99,43,39.53%,
2/23/2020 - 5/12/2023,($310.00),-0.30%,0.99,43,39.53%,
2/22/2020 - 5/12/2023,($310.00),-0.30%,0.99,43,39.53%,
2/21/2020 - 5/12/2023,$10.00,0.01%,1.00,43,39.53%,
2/20/2020 - 5/12/2023,($200.00),-0.19%,0.99,43,39.53%,
2/19/2020 - 5/12/2023,$0.00,0.00%,1.00,43,39.53%,
2/18/2020 - 5/12/2023,$150.00,0.14%,1.01,43,39.53%,
2/17/2020 - 5/12/2023,$150.00,0.14%,1.01,43,39.53%,
2/16/2020 - 5/12/2023,$150.00,0.14%,1.01,43,39.53%,
2/15/2020 - 5/12/2023,$150.00,0.14%,1.01,43,39.53%,
2/14/2020 - 5/12/2023,$180.00,0.17%,1.01,43,39.53%,
2/13/2020 - 5/12/2023,$180.00,0.17%,1.01,43,39.53%,
2/12/2020 - 5/12/2023,$180.00,0.17%,1.01,43,39.53%,
2/11/2020 - 5/12/2023,$180.00,0.17%,1.01,43,39.53%,
2/10/2020 - 5/12/2023,$180.00,0.17%,1.01,43,39.53%,
2/9/2020 - 5/12/2023,$180.00,0.17%,1.01,43,39.53%,
2/8/2020 - 5/12/2023,$180.00,0.17%,1.01,43,39.53%,
2/7/2020 - 5/12/2023,($120.00),-0.12%,0.99,44,38.64%,
2/6/2020 - 5/12/2023,($820.00),-0.78%,0.96,44,38.64%,
2/5/2020 - 5/12/2023,($820.00),-0.78%,0.96,44,38.64%,
2/4/2020 - 5/12/2023,($820.00),-0.78%,0.96,44,38.64%,
2/3/2020 - 5/12/2023,($820.00),-0.78%,0.96,44,38.64%,
2/2/2020 - 5/12/2023,($820.00),-0.78%,0.96,44,38.64%,
