Performance Summary,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,All Trades,Long Trades,Short Trades,,,,,,,,,,,
5/1/2021 - 5/12/2023,$36985.00,21.51%,1.63,44,47.73%,,,,,,,,,
4/30/2021 - 5/12/2023,$35535.00,20.49%,1.59,44,47.73%,,,,,,,,,
4/29/2021 - 5/12/2023,$36897.50,21.45%,1.63,44,47.73%,,,,,,,,,
4/28/2021 - 5/12/2023,$36760.00,21.35%,1.63,44,47.73%,,,,,,,,,
4/27/2021 - 5/12/2023,$36735.00,21.33%,1.62,44,47.73%,,,,,,,,,
4/26/2021 - 5/12/2023,$37135.00,21.61%,1.64,44,47.73%,,,,,,,,,
4/25/2021 - 5/12/2023,$37135.00,21.61%,1.64,44,47.73%,,,,,,,,,
4/24/2021 - 5/12/2023,$37135.00,21.61%,1.64,44,47.73%,,,,,,,,,
4/23/2021 - 5/12/2023,$39322.50,23.18%,1.7,44,47.73%,,,,,,,,,
4/22/2021 - 5/12/2023,$37472.50,21.85%,1.65,44,47.73%,,,,,,,,,
4/21/2021 - 5/12/2023,$39385.00,23.23%,1.7,44,47.73%,,,,,,,,,
4/20/2021 - 5/12/2023,$37935.00,22.18%,1.66,44,47.73%,,,,,,,,,
4/19/2021 - 5/12/2023,$36897.50,21.45%,1.63,44,47.73%,,,,,,,,,
4/18/2021 - 5/12/2023,$36897.50,21.45%,1.63,44,47.73%,,,,,,,,,
4/17/2021 - 5/12/2023,$36897.50,21.45%,1.63,44,47.73%,,,,,,,,,
4/16/2021 - 5/12/2023,$37585.00,21.93%,1.65,44,47.73%,,,,,,,,,
4/15/2021 - 5/12/2023,$39810.00,23.54%,1.71,44,47.73%,,,,,,,,,
4/14/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
4/13/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
4/12/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
4/11/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
4/10/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
4/9/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
4/8/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
4/7/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
4/6/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
4/5/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
4/4/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
4/3/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
4/2/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
4/1/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
3/31/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
3/30/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
3/29/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
3/28/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
3/27/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
3/26/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
3/25/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
3/24/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
3/23/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
3/22/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
3/21/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
3/20/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
3/19/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
3/18/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
3/17/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
3/16/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
3/15/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
3/14/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
3/13/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
3/12/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
3/11/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
3/10/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
3/9/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
3/8/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
3/7/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
3/6/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
3/5/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
3/4/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
3/3/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
3/2/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
3/1/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
2/28/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
2/27/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
2/26/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
2/25/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
2/24/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
2/23/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
2/22/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
2/21/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
2/20/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
2/19/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
2/18/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
2/17/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
2/16/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
2/15/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
2/14/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
2/13/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
2/12/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
2/11/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
2/10/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
2/9/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
2/8/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
2/7/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
2/6/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
2/5/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
2/4/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
2/3/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
2/2/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
2/1/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
1/31/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
1/30/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
1/29/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
1/28/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
1/27/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
1/26/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
1/25/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
1/24/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
1/23/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
1/22/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
1/21/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
1/20/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
1/19/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
1/18/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
1/17/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
1/16/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
1/15/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
1/14/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
1/13/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
1/12/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
1/11/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
1/10/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
1/9/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
1/8/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
1/7/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
1/6/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
1/5/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
1/4/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
1/3/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
1/2/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
1/1/2021 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
12/31/2020 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
12/30/2020 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
12/29/2020 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
12/28/2020 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
12/27/2020 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
12/26/2020 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
12/25/2020 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
12/24/2020 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
12/23/2020 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
12/22/2020 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
12/21/2020 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
12/20/2020 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
12/19/2020 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
12/18/2020 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
12/17/2020 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
12/16/2020 - 5/12/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
12/15/2020 - 5/12/2023,$41992.50,25.15%,1.75,45,48.89%,,,,,,,,,
12/14/2020 - 5/12/2023,$41317.50,24.65%,1.74,45,48.89%,,,,,,,,,
12/13/2020 - 5/12/2023,$40477.50,24.03%,1.72,45,48.89%,,,,,,,,,
12/12/2020 - 5/12/2023,$40477.50,24.03%,1.72,45,48.89%,,,,,,,,,
12/11/2020 - 5/12/2023,$40477.50,24.03%,1.72,45,48.89%,,,,,,,,,
12/10/2020 - 5/12/2023,$40477.50,24.03%,1.72,45,48.89%,,,,,,,,,
12/9/2020 - 5/12/2023,$40477.50,24.03%,1.72,45,48.89%,,,,,,,,,
12/8/2020 - 5/12/2023,$40477.50,24.03%,1.72,45,48.89%,,,,,,,,,
12/7/2020 - 5/12/2023,$40477.50,24.03%,1.72,45,48.89%,,,,,,,,,
12/6/2020 - 5/12/2023,$40477.50,24.03%,1.72,45,48.89%,,,,,,,,,
12/5/2020 - 5/12/2023,$40477.50,24.03%,1.72,45,48.89%,,,,,,,,,
12/4/2020 - 5/12/2023,$40477.50,24.03%,1.72,45,48.89%,,,,,,,,,
12/3/2020 - 5/12/2023,$40477.50,24.03%,1.72,45,48.89%,,,,,,,,,
12/2/2020 - 5/12/2023,$40477.50,24.03%,1.72,45,48.89%,,,,,,,,,
12/1/2020 - 5/12/2023,$42362.50,25.43%,1.76,46,50.00%,,,,,,,,,
11/30/2020 - 5/12/2023,$41960.00,25.13%,1.75,46,50.00%,,,,,,,,,
11/29/2020 - 5/12/2023,$41960.00,25.13%,1.75,46,50.00%,,,,,,,,,
11/28/2020 - 5/12/2023,$41960.00,25.13%,1.75,46,50.00%,,,,,,,,,
11/27/2020 - 5/12/2023,$41960.00,25.13%,1.75,46,50.00%,,,,,,,,,
11/26/2020 - 5/12/2023,$41960.00,25.13%,1.75,46,50.00%,,,,,,,,,
11/25/2020 - 5/12/2023,$41960.00,25.13%,1.75,46,50.00%,,,,,,,,,
11/24/2020 - 5/12/2023,$44920.00,27.39%,1.8,47,51.06%,,,,,,,,,
11/23/2020 - 5/12/2023,$46007.50,28.24%,1.82,47,51.06%,,,,,,,,,
11/22/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
11/21/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
11/20/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
11/19/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
11/18/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
11/17/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
11/16/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
11/15/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
11/14/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
11/13/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
11/12/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
11/11/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
11/10/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
11/9/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
11/8/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
11/7/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
11/6/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
11/5/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
11/4/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
11/3/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
11/2/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
11/1/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
10/31/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
10/30/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
10/29/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
10/28/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
10/27/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
10/26/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
10/25/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
10/24/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
10/23/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
10/22/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
10/21/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
10/20/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
10/19/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
10/18/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
10/17/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
10/16/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
10/15/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
10/14/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
10/13/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
10/12/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
10/11/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
10/10/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
10/9/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
10/8/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
10/7/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
10/6/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
10/5/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
10/4/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
10/3/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
10/2/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
10/1/2020 - 5/12/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
9/30/2020 - 5/12/2023,$46915.00,28.95%,1.84,48,52.08%,,,,,,,,,
9/29/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
9/28/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
9/27/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
9/26/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
9/25/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
9/24/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
9/23/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
9/22/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
9/21/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
9/20/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
9/19/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
9/18/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
9/17/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
9/16/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
9/15/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
9/14/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
9/13/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
9/12/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
9/11/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
9/10/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
9/9/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
9/8/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
9/7/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
9/6/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
9/5/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
9/4/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
9/3/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
9/2/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
9/1/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
8/31/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
8/30/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
8/29/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
8/28/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
8/27/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
8/26/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
8/25/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
8/24/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
8/23/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
8/22/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
8/21/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
8/20/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
8/19/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
8/18/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
8/17/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
8/16/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
8/15/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
8/14/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
8/13/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
8/12/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
8/11/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
8/10/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
8/9/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
8/8/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
8/7/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
8/6/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
8/5/2020 - 5/12/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
8/4/2020 - 5/12/2023,$47572.50,29.48%,1.85,49,53.06%,,,,,,,,,
8/3/2020 - 5/12/2023,$48822.50,30.49%,1.87,49,53.06%,,,,,,,,,
8/2/2020 - 5/12/2023,$48822.50,30.49%,1.87,49,53.06%,,,,,,,,,
8/1/2020 - 5/12/2023,$48822.50,30.49%,1.87,49,53.06%,,,,,,,,,
7/31/2020 - 5/12/2023,$49560.00,31.09%,1.89,49,53.06%,,,,,,,,,
7/30/2020 - 5/12/2023,$49372.50,30.94%,1.88,49,53.06%,,,,,,,,,
7/29/2020 - 5/12/2023,$51347.50,32.58%,1.92,49,53.06%,,,,,,,,,
7/28/2020 - 5/12/2023,$50385.00,31.78%,1.9,49,53.06%,,,,,,,,,
7/27/2020 - 5/12/2023,$51797.50,32.96%,1.92,49,53.06%,,,,,,,,,
7/26/2020 - 5/12/2023,$51797.50,32.96%,1.92,49,53.06%,,,,,,,,,
7/25/2020 - 5/12/2023,$51797.50,32.96%,1.92,49,53.06%,,,,,,,,,
7/24/2020 - 5/12/2023,$50622.50,31.97%,1.9,49,53.06%,,,,,,,,,
7/23/2020 - 5/12/2023,$48722.50,30.41%,1.87,49,53.06%,,,,,,,,,
7/22/2020 - 5/12/2023,$49435.00,30.99%,1.88,49,53.06%,,,,,,,,,
7/21/2020 - 5/12/2023,$49735.00,31.24%,1.89,49,53.06%,,,,,,,,,
7/20/2020 - 5/12/2023,$51297.50,32.54%,1.92,49,53.06%,,,,,,,,,
7/19/2020 - 5/12/2023,$51297.50,32.54%,1.92,49,53.06%,,,,,,,,,
7/18/2020 - 5/12/2023,$51297.50,32.54%,1.92,49,53.06%,,,,,,,,,
7/17/2020 - 5/12/2023,$52272.50,33.36%,1.93,49,53.06%,,,,,,,,,
7/16/2020 - 5/12/2023,$52057.50,33.18%,1.93,49,53.06%,,,,,,,,,
7/15/2020 - 5/12/2023,$52057.50,33.18%,1.93,49,53.06%,,,,,,,,,
7/14/2020 - 5/12/2023,$50617.50,31.97%,1.88,50,52.00%,,,,,,,,,
7/13/2020 - 5/12/2023,$50527.50,31.89%,1.88,50,52.00%,,,,,,,,,
7/12/2020 - 5/12/2023,$50527.50,31.89%,1.88,50,52.00%,,,,,,,,,
7/11/2020 - 5/12/2023,$50527.50,31.89%,1.88,50,52.00%,,,,,,,,,
7/10/2020 - 5/12/2023,$49075.00,30.70%,1.83,51,50.98%,,,,,,,,,
