

Performance Summary

,All Trades,Long Trades,Short Trades,
25/10/2018 - 17/05/2023,$36501.25,20.34%,1.96,84,55.95%,
24/10/2018 - 17/05/2023,$36032.50,20.03%,1.95,84,55.95%,
23/10/2018 - 17/05/2023,$35907.50,19.94%,1.94,84,55.95%,
22/10/2018 - 17/05/2023,$36045.00,20.03%,1.95,84,55.95%,
21/10/2018 - 17/05/2023,$36026.25,20.02%,1.95,84,55.95%,
20/10/2018 - 17/05/2023,$36026.25,20.02%,1.95,84,55.95%,
19/10/2018 - 17/05/2023,$36188.75,20.13%,1.95,84,55.95%,
18/10/2018 - 17/05/2023,$36026.25,20.02%,1.95,84,55.95%,
17/10/2018 - 17/05/2023,$36251.25,20.17%,1.95,84,55.95%,
16/10/2018 - 17/05/2023,$36446.25,20.30%,1.96,84,55.95%,
15/10/2018 - 17/05/2023,$36446.25,20.30%,1.96,84,55.95%,
14/10/2018 - 17/05/2023,$36446.25,20.30%,1.96,84,55.95%,
13/10/2018 - 17/05/2023,$36446.25,20.30%,1.96,84,55.95%,
12/10/2018 - 17/05/2023,$36446.25,20.30%,1.96,84,55.95%,
